1.0,0.5,0.5,-1006172.22
1.0,0.0,0.0,5582138.19
1.0,0.25,0.0,-344838.29
1.0,0.325,0.0,-1108123.31
1.0,0.4,0.0,-1536430.3
1.0,0.425,0.0,-1614604.67
1.0,0.45,0.0,-1663592.84
1.0,0.475,0.0,-1685100.14
1.0,0.5,0.0,-1680733.92
1.0,0.525,0.0,-1652009.72
1.0,0.55,0.0,-1600357.02
1.0,0.575,0.0,-1527124.56
1.0,0.6,0.0,-1433585.36
1.0,0.675,0.0,-1042816.22
1.0,0.75,0.0,-508757.0
1.0,1.0,0.0,2018323.2
1.0,0.0,0.375,5741922.77
1.0,0.25,0.375,-203040.42
1.0,0.325,0.375,-970962.3
1.0,0.4,0.375,-1403614.42
1.0,0.425,0.375,-1483177.04
1.0,0.45,0.375,-1533524.93
1.0,0.475,0.375,-1556364.29
1.0,0.5,0.375,-1553303.31
1.0,0.525,0.375,-1525858.34
1.0,0.55,0.375,-1475459.6
1.0,0.575,0.375,-1403456.6
1.0,0.6,0.375,-1311123.03
1.0,0.675,0.375,-923834.71
1.0,0.75,0.375,-393065.17
1.0,1.0,0.375,2124245.02
1.0,0.0,0.45,6088980.98
1.0,0.25,0.45,105008.85
1.0,0.325,0.45,-672970.51
1.0,0.4,0.45,-1115047.81
1.0,0.425,0.45,-1197621.83
1.0,0.45,0.45,-1250919.28
1.0,0.475,0.45,-1276648.26
1.0,0.5,0.45,-1276418.77
1.0,0.525,0.45,-1251748.87
1.0,0.55,0.45,-1204070.46
1.0,0.575,0.45,-1134734.65
1.0,0.6,0.45,-1045016.68
1.0,0.675,0.45,-665280.04
1.0,0.75,0.45,-141647.83
1.0,1.0,0.45,2354463.29
1.0,0.0,0.5,6427698.65
1.0,0.25,0.5,405664.51
1.0,0.325,0.5,-382128.38
1.0,0.4,0.5,-833402.33
1.0,0.425,0.5,-918914.74
1.0,0.45,0.5,-975090.27
1.0,0.475,0.5,-1003638.85
1.0,0.525,0.5,-984210.14
1.0,0.55,0.5,-939186.16
1.0,0.575,0.5,-872452.93
1.0,0.6,0.5,-785287.19
1.0,0.675,0.5,-412919.35
1.0,0.75,0.5,103748.33
1.0,1.0,0.5,2579173.35
1.0,0.0,0.55,6812813.14
1.0,0.25,0.55,747479.05
1.0,0.325,0.55,-51477.38
1.0,0.4,0.55,-513212.91
1.0,0.425,0.55,-602067.83
1.0,0.45,0.55,-661517.24
1.0,0.475,0.55,-693273.14
1.0,0.5,0.55,-698949.29
1.0,0.525,0.55,-680067.38
1.0,0.55,0.55,-638062.79
1.0,0.575,0.55,-574289.96
1.0,0.6,0.55,-490027.33
1.0,0.675,0.55,-126041.27
1.0,0.75,0.55,382704.61
1.0,1.0,0.55,2834601.0
1.0,0.0,0.625,7526286.98
1.0,0.25,0.625,1380730.42
1.0,0.325,0.625,561091.25
1.0,0.4,0.625,79973.48
1.0,0.425,0.625,-15074.12
1.0,0.45,0.625,-80589.04
1.0,0.475,0.625,-118287.15
1.0,0.5,0.625,-129785.93
1.0,0.525,0.625,-116610.64
1.0,0.55,0.625,-80200.07
1.0,0.575,0.625,-21911.97
1.0,0.6,0.625,56972.06
1.0,0.675,0.625,405429.26
1.0,0.75,0.625,899498.47
1.0,1.0,0.625,3307803.69
1.0,0.0,1.0,13541233.45
1.0,0.25,1.0,6719306.79
1.0,0.325,1.0,5725288.67
1.0,0.4,1.0,5080757.3
1.0,0.425,1.0,4933498.67
1.0,0.45,1.0,4816844.93
1.0,0.475,1.0,4729047.57
1.0,0.5,1.0,4668457.79
1.0,0.525,1.0,4633520.27
1.0,0.55,1.0,4622767.31
